chapter,italian,chinese,pronunciation,example_it,example_zh,note,image,source_name,source_url,license_note,copyright_status,word_id
交通标志与图形 - 强制标志,preavviso di direzione obbligatoria a destra,强制右转警告,,Figura n. 96: preavviso di direzione obbligatoria a destra.,该图形表示：强制右转警告。,图形编号 s96；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s96.gif,rmastri.it,https://www.rmastri.it/42/immagini/s96.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000143
交通标志与图形 - 强制标志,preavviso di direzione obbligatoria a sinistra,强制左转警告,,Figura n. 97: preavviso di direzione obbligatoria a sinistra.,该图形表示：强制左转警告。,图形编号 s97；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s97.gif,rmastri.it,https://www.rmastri.it/42/immagini/s97.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000144
交通标志与图形 - 强制标志,direzioni consentite destra e sinistra,允许向右或向左,,Figura n. 98: direzioni consentite destra e sinistra.,图形 98 表示：允许向右或向左。,图形编号 s98；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s98.gif,rmastri.it,https://www.rmastri.it/42/immagini/s98.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000145
交通标志与图形 - 强制标志,direzioni consentite diritto e destra,允许直行或向右,,Figura n. 99: direzioni consentite diritto e destra.,图形 99 表示：允许直行或向右。,图形编号 s99；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s99.gif,rmastri.it,https://www.rmastri.it/42/immagini/s99.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000146
交通标志与图形 - 强制标志,direzioni consentite diritto e sinistra,允许直行或向左,,Figura n. 100: direzioni consentite diritto e sinistra.,图形 100 表示：允许直行或向左。,图形编号 s100；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s100.gif,rmastri.it,https://www.rmastri.it/42/immagini/s100.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000147
交通标志与图形 - 强制标志,passaggio obbligatorio a sinistra di un ostacolo,遇到障碍物时必须从左侧通过,,Figura n. 101: passaggio obbligatorio a sinistra di un ostacolo.,该图形表示：遇到障碍物时必须从左侧通过。,图形编号 s101；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s101.gif,rmastri.it,https://www.rmastri.it/42/immagini/s101.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000148
交通标志与图形 - 强制标志,passaggio obbligatorio a destra di un ostacolo,遇到障碍物时必须从右侧通过,,Figura n. 102: passaggio obbligatorio a destra di un ostacolo.,该图形表示：遇到障碍物时必须从右侧通过。,图形编号 s102；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s102.gif,rmastri.it,https://www.rmastri.it/42/immagini/s102.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000149
交通标志与图形 - 强制标志,passaggi consentiti a destra o a sinistra di un ostacolo,遇到障碍物时可从左侧或右侧通过,,Figura n. 103: passaggi consentiti a destra o a sinistra di un ostacolo.,该图形表示：遇到障碍物时可从左侧或右侧通过。,图形编号 s103；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s103.gif,rmastri.it,https://www.rmastri.it/42/immagini/s103.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000150
交通标志与图形 - 强制标志,rotatoria,环岛,,Figura n. 104: rotatoria.,图形 104 表示：环岛。,图形编号 s104；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s104.gif,rmastri.it,https://www.rmastri.it/42/immagini/s104.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000151
交通标志与图形 - 强制标志,limite minimo di velocità di 30 km/h,最低限速 30 km/h。,,Figura n. 105: limite minimo di velocità di 30 km/h.,图形 105 表示车辆行驶速度不得低于 30 km/h。,图形编号 s105；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s105.gif,rmastri.it,https://www.rmastri.it/42/immagini/s105.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000152
交通标志与图形 - 强制标志,fine del limite minimo di velocità di 30 km/h,最低限速 30 km/h 结束。,,Figura n. 106: fine del limite minimo di velocità di 30 km/h.,图形 106 表示最低 30 km/h 的限速到此结束。,图形编号 s106；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s106.gif,rmastri.it,https://www.rmastri.it/42/immagini/s106.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000153
交通标志与图形 - 强制标志,catene o pneumatici da neve obbligatori,必须使用防滑链或雪地轮胎。,,Figura n. 107: catene o pneumatici da neve obbligatori.,图形 107 表示必须安装防滑链，或使用适合雪地行驶的轮胎。,图形编号 s107；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s107.gif,rmastri.it,https://www.rmastri.it/42/immagini/s107.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000154
交通标志与图形 - 强制标志,percorso pedonale,行人专用路径,,Figura n. 108: percorso pedonale.,图形 108 表示：行人专用路径。,图形编号 s108；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s108.gif,rmastri.it,https://www.rmastri.it/42/immagini/s108.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000155
交通标志与图形 - 强制标志,fine del percorso pedonale,行人专用路径结束,,Figura n. 109: fine del percorso pedonale.,图形 109 表示：行人专用路径结束。,图形编号 s109；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s109.gif,rmastri.it,https://www.rmastri.it/42/immagini/s109.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000156
交通标志与图形 - 强制标志,pista ciclabile,自行车道,,Figura n. 110: pista ciclabile.,图形 110 表示：自行车道。,图形编号 s110；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s110.gif,rmastri.it,https://www.rmastri.it/42/immagini/s110.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000157
交通标志与图形 - 强制标志,fine pista ciclabile,自行车道结束,,Figura n. 111: fine pista ciclabile.,图形 111 表示：自行车道结束。,图形编号 s111；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s111.gif,rmastri.it,https://www.rmastri.it/42/immagini/s111.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000158
交通标志与图形 - 强制标志,pista ciclabile contigua (accanto) al marciapiede,人行道旁相邻自行车道。,,Figura n. 112: pista ciclabile contigua (accanto) al marciapiede.,图形 112 表示自行车道与人行道相邻设置。,图形编号 s112；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s112.gif,rmastri.it,https://www.rmastri.it/42/immagini/s112.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000159
交通标志与图形 - 强制标志,percorso unico pedonale e ciclabile,行人和自行车共用路径。,,Figura n. 113: percorso unico pedonale e ciclabile.,图形 113 表示行人和自行车在同一路径上通行。,图形编号 s113；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s113.gif,rmastri.it,https://www.rmastri.it/42/immagini/s113.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000160
交通标志与图形 - 强制标志,fine della pista ciclabile contigua (accanto) al marciapiede,人行道旁相邻自行车道结束。,,Figura n. 114: fine della pista ciclabile contigua (accanto) al marciapiede.,图形 114 表示紧邻人行道的自行车道到此结束。,图形编号 s114；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s114.gif,rmastri.it,https://www.rmastri.it/42/immagini/s114.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000161
交通标志与图形 - 强制标志,fine del percorso pedonale e ciclabile,行人和自行车共用路径结束。,,Figura n. 115: fine del percorso pedonale e ciclabile.,图形 115 表示行人和自行车共用路径到此结束。,图形编号 s115；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s115.gif,rmastri.it,https://www.rmastri.it/42/immagini/s115.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000162
交通标志与图形 - 强制标志,percorso riservato ai quadrupedi da soma e da sella,驮畜和骑乘动物专用路线。,,Figura n. 116: percorso riservato ai quadrupedi da soma e da sella.,该标志表示路线保留给驮畜和骑乘动物使用。,图形编号 s116；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s116.gif,rmastri.it,https://www.rmastri.it/42/immagini/s116.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000163
交通标志与图形 - 强制标志,fine del percorso riservato ai quadrupedi da soma e da sella,驮畜和骑乘动物专用路线结束。,,Figura n. 117: fine del percorso riservato ai quadrupedi da soma e da sella.,该标志表示驮畜和骑乘动物专用路线结束。,图形编号 s117；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s117.gif,rmastri.it,https://www.rmastri.it/42/immagini/s117.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000164
交通标志与图形 - 强制标志,alt-dogana: segnala un controllo doganale al confine con uno stato extracomunitario ove e’ obbligatorio fermarsi,海关停车检查：在非欧盟国家边境海关检查处必须停车。,,Figura n. 118: alt-dogana: segnala un controllo doganale al confine con uno stato extracomunitario ove e’ obbligatorio fermarsi.,遇到该标志时，车辆应在海关检查处停车接受检查。,图形编号 s118；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s118.gif,rmastri.it,https://www.rmastri.it/42/immagini/s118.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000165
交通标志与图形 - 强制标志,alt-polizia: segnala un posto di blocco istituito da organi di polizia ove e’ obbligatorio fermarsi anche se non mostrano la paletta,警察停车检查：遇警察设卡时必须停车。,,Figura n. 119: alt-polizia: segnala un posto di blocco istituito da organi di polizia ove e’ obbligatorio fermarsi anche se non mostrano la paletta.,即使没有出示停车牌，遇到警察设卡标志也应停车接受检查。,图形编号 s119；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s119.gif,rmastri.it,https://www.rmastri.it/42/immagini/s119.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000166
交通标志与图形 - 强制标志,"alt-stazione: segnala l’obbligo di arresto presso accessi autostradali controllati, per operazioni di pedaggio",收费站停车：在受控高速入口或收费操作处必须停车。,,"Figura n. 120: alt-stazione: segnala l’obbligo di arresto presso accessi autostradali controllati, per operazioni di pedaggio.",遇到该标志时，应在收费站或受控入口处停车。,图形编号 s120；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s120.gif,rmastri.it,https://www.rmastri.it/42/immagini/s120.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000167
交通标志与图形 - 强制标志,confine di stato tra paesi della comunità europea,欧盟国家之间的国界标志。,,Figura n. 163: confine di stato tra paesi della comunità europea.,该标志表示两个欧盟国家之间的边界。,图形编号 s121；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s163.gif,rmastri.it,https://www.rmastri.it/42/immagini/s163.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000168
交通标志与图形 - 强制标志,preavviso di confine di stato tra paesi della comunità europea,欧盟国家之间国界预告。,,Figura n. 164: preavviso di confine di stato tra paesi della comunità europea.,该标志提前提示即将到达欧盟国家之间的边界。,图形编号 s122；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s164.gif,rmastri.it,https://www.rmastri.it/42/immagini/s164.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000169
交通标志与图形 - 辅助牌,distanza,距离,,Figura n. 121: distanza.,图形 121 表示：距离。,图形编号 s121；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s121.gif,rmastri.it,https://www.rmastri.it/42/immagini/s121.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000170
交通标志与图形 - 辅助牌,estesa,路段长度,,Figura n. 122: estesa.,图形 122 表示：路段长度。,图形编号 s122；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s122.gif,rmastri.it,https://www.rmastri.it/42/immagini/s122.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000171
交通标志与图形 - 辅助牌,fasce orarie di tutti i giorni,每天适用的时间段。,,Figura n. 123: fasce orarie di tutti i giorni.,图形 123 表示该规定在每天标明的时间段内有效。,图形编号 s123；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s123.gif,rmastri.it,https://www.rmastri.it/42/immagini/s123.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000172
交通标志与图形 - 辅助牌,fasce orarie dei giorni festivi,节假日适用的时间段。,,Figura n. 124: fasce orarie dei giorni festivi.,图形 124 表示该规定在节假日标明的时间段内有效。,图形编号 s124；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s124.gif,rmastri.it,https://www.rmastri.it/42/immagini/s124.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000173
交通标志与图形 - 辅助牌,fasce orarie dei giorni lavorativi,工作日适用的时间段。,,Figura n. 125: fasce orarie dei giorni lavorativi.,图形 125 表示该规定在工作日标明的时间段内有效。,图形编号 s125；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s125.gif,rmastri.it,https://www.rmastri.it/42/immagini/s125.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000174
交通标志与图形 - 辅助牌,limitazione,限制,,Figura n. 126: limitazione.,图形 126 表示：限制。,图形编号 s126；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s126.gif,rmastri.it,https://www.rmastri.it/42/immagini/s126.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000175
交通标志与图形 - 辅助牌,eccezione,例外,,Figura n. 127: eccezione.,图形 127 表示：例外。,图形编号 s127；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s127.gif,rmastri.it,https://www.rmastri.it/42/immagini/s127.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000176
交通标志与图形 - 辅助牌,inizio,开始,,Figura n. 128: inizio.,图形 128 表示：开始。,图形编号 s128；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s128.gif,rmastri.it,https://www.rmastri.it/42/immagini/s128.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000177
交通标志与图形 - 辅助牌,continuazione,继续,,Figura n. 129: continuazione.,图形 129 表示：继续。,图形编号 s129；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s129.gif,rmastri.it,https://www.rmastri.it/42/immagini/s129.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000178
交通标志与图形 - 辅助牌,fine,结束,,Figura n. 130: fine.,图形 130 表示：结束。,图形编号 s130；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s130.gif,rmastri.it,https://www.rmastri.it/42/immagini/s130.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000179
交通标志与图形 - 辅助牌,segni orizzontali mancanti o in rifacimento,路面标线缺失或正在重画。,,Figura n. 131: segni orizzontali mancanti o in rifacimento.,该辅助牌提醒当前路段的路面标线可能缺失或正在重新绘制。,图形编号 s131；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s131.gif,rmastri.it,https://www.rmastri.it/42/immagini/s131.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000180
交通标志与图形 - 辅助牌,incidente,事故,,Figura n. 132: incidente.,图形 132 表示：事故。,图形编号 s132；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s132.gif,rmastri.it,https://www.rmastri.it/42/immagini/s132.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000181
交通标志与图形 - 辅助牌,attraversamento di binari,铁路交叉口,,Figura n. 133: attraversamento di binari.,该图形表示：铁路交叉口。,图形编号 s133；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s133.gif,rmastri.it,https://www.rmastri.it/42/immagini/s133.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000182
交通标志与图形 - 辅助牌,sgombraneve in azione,扫雪车作业中,,Figura n. 134: sgombraneve in azione.,图形 134 表示：扫雪车作业中。,图形编号 s134；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s134.gif,rmastri.it,https://www.rmastri.it/42/immagini/s134.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000183
交通标志与图形 - 辅助牌,zona soggetta ad allagamento,易积水区域。,,Figura n. 135: zona soggetta ad allagamento.,该辅助牌提醒该区域可能发生积水或被水淹。,图形编号 s135；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s135.gif,rmastri.it,https://www.rmastri.it/42/immagini/s135.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000184
交通标志与图形 - 辅助牌,coda: veicoli fermi o in lento movimento,排队拥堵：车辆停止或缓慢移动。,,Figura n. 136: coda: veicoli fermi o in lento movimento.,该辅助牌提醒前方可能有排队车辆或缓慢通行。,图形编号 s136；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s136.gif,rmastri.it,https://www.rmastri.it/42/immagini/s136.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000185
交通标志与图形 - 辅助牌,mezzi di lavoro in azione,工程车辆作业。,,Figura n. 137: mezzi di lavoro in azione.,图形 137 表示附近有施工或作业车辆正在工作。,图形编号 s137；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s137.gif,rmastri.it,https://www.rmastri.it/42/immagini/s137.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000186
交通标志与图形 - 辅助牌,strada sdrucciolevole per ghiaccio,结冰导致路面湿滑。,,Figura n. 138: strada sdrucciolevole per ghiaccio.,该辅助牌提醒路面可能因结冰而湿滑。,图形编号 s138；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s138.gif,rmastri.it,https://www.rmastri.it/42/immagini/s138.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000187
交通标志与图形 - 辅助牌,strada sdrucciolevole per pioggia,雨水导致路面湿滑。,,Figura n. 139: strada sdrucciolevole per pioggia.,该辅助牌提醒路面可能因下雨而湿滑。,图形编号 s139；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s139.gif,rmastri.it,https://www.rmastri.it/42/immagini/s139.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000188
交通标志与图形 - 辅助牌,autocarri in rallentamento,货车减速行驶,,Figura n. 140: autocarri in rallentamento.,该图形表示：货车减速行驶。,图形编号 s140；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s140.gif,rmastri.it,https://www.rmastri.it/42/immagini/s140.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000189
交通标志与图形 - 辅助牌,zona rimozione coatta,强制拖车区,,Figura n. 141: zona rimozione coatta.,图形 141 表示：强制拖车区。,图形编号 s141；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s141.gif,rmastri.it,https://www.rmastri.it/42/immagini/s141.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000190
交通标志与图形 - 辅助牌,segnale di corsia,车道指示信号,,Figura n. 142: segnale di corsia.,该图形表示：车道指示信号。,图形编号 s142；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s142.gif,rmastri.it,https://www.rmastri.it/42/immagini/s142.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000191
交通标志与图形 - 辅助牌,numero complessivo dei tornanti,连续弯道的总数量。,,Figura n. 143: numero complessivo dei tornanti.,图形 143 表示前方发夹弯或连续弯道的总数。,图形编号 s143；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s143.gif,rmastri.it,https://www.rmastri.it/42/immagini/s143.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000192
交通标志与图形 - 辅助牌,numero progressivo del tornante,当前弯道的顺序编号。,,Figura n. 144: numero progressivo del tornante.,图形 144 表示当前发夹弯或弯道在连续弯道中的编号。,图形编号 s144；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s144.gif,rmastri.it,https://www.rmastri.it/42/immagini/s144.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000193
交通标志与图形 - 辅助牌,pulizia meccanica della strada,道路机械清扫,,Figura n. 145: pulizia meccanica della strada.,该图形表示：道路机械清扫。,图形编号 s146；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s145.gif,rmastri.it,https://www.rmastri.it/42/immagini/s145.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000194
交通标志与图形 - 辅助牌,andamento della strada principale,主干道走向,,Figura n. 146: andamento della strada principale.,该图形表示：主干道走向。,图形编号 s147；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s146.gif,rmastri.it,https://www.rmastri.it/42/immagini/s146.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000195
交通标志与图形 - 辅助牌,divieto di sosta temporaneo per pulizia meccanica della strada,因机械清扫道路临时禁止停车。,,Figura n. 148: divieto di sosta temporaneo per pulizia meccanica della strada.,该标志表示在道路机械清扫期间临时禁止停车。,图形编号 s148；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s148.gif,rmastri.it,https://www.rmastri.it/42/immagini/s148.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000196
交通标志与图形 - 辅助牌,"preavviso di deviazione obbligatoria a destra per autocarri che superano 3,5 t.",前方货车必须向右改道的预告标志，适用于超过 3.5 吨的货车。,,"Figura n. 150: preavviso di deviazione obbligatoria a destra per autocarri che superano 3,5 t..",图形 150 表示超过 3.5 吨的货车需要按提示向右改道。,图形编号 s150；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s150.gif,rmastri.it,https://www.rmastri.it/42/immagini/s150.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000197
交通标志与图形 - 辅助牌,divieto di transito per autotreni ed autoarticolati,禁止货车和铰接式货车过境,,Figura n. 151: divieto di transito per autotreni ed autoarticolati.,该图形表示：禁止货车和铰接式货车过境。,图形编号 s151；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s151.gif,rmastri.it,https://www.rmastri.it/42/immagini/s151.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000198
交通标志与图形 - 指示标志,senso unico parallelo,平行方向单行道。,,Figura n. 152: senso unico parallelo.,图形 152 表示道路为平行方向单行通行。,图形编号 s152；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s152.gif,rmastri.it,https://www.rmastri.it/42/immagini/s152.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000199
交通标志与图形 - 指示标志,senso unico frontale,正面方向单行道。,,Figura n. 153: senso unico frontale.,图形 153 表示前方为正面方向单行通行。,图形编号 s153；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s153.gif,rmastri.it,https://www.rmastri.it/42/immagini/s153.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000200
交通标志与图形 - 指示标志,lanterna semaforica veicolare normale,普通车辆交通信号灯。,,Figura n. 154: lanterna semaforica veicolare normale.,图形 154 表示普通车辆使用的红黄绿交通信号灯。,图形编号 s154；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s154.gif,rmastri.it,https://www.rmastri.it/42/immagini/s154.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000201
交通标志与图形 - 指示标志,semafori veicolari di corsia,车道交通信号灯。,,Figura n. 155: semafori veicolari di corsia.,图形 155 表示按车道设置的车辆交通信号灯。,图形编号 s155；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s155.gif,rmastri.it,https://www.rmastri.it/42/immagini/s155.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000202
交通标志与图形 - 指示标志,"semaforo per veicoli di trasporto pubblico (tram, taxi, autobus)",公共交通车辆专用信号灯。,,"Figura n. 156: semaforo per veicoli di trasporto pubblico (tram, taxi, autobus).",图形 156 表示有轨电车、出租车、公交车等公共交通车辆使用的信号灯。,图形编号 s156；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s156.gif,rmastri.it,https://www.rmastri.it/42/immagini/s156.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000203
交通标志与图形 - 指示标志,semaforo pedonale,行人交通信号灯,,Figura n. 157: semaforo pedonale.,该图形表示：行人交通信号灯。,图形编号 s157；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s157.gif,rmastri.it,https://www.rmastri.it/42/immagini/s157.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000204
交通标志与图形 - 指示标志,semaforo per velocipedi (biciclette),自行车交通信号灯。,,Figura n. 158: semaforo per velocipedi (biciclette).,图形 158 表示自行车使用的交通信号灯。,图形编号 s158；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s158.gif,rmastri.it,https://www.rmastri.it/42/immagini/s158.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000205
交通标志与图形 - 指示标志,lanterne semaforiche per corsie reversibili,可变车道交通信号灯。,,Figura n. 159: lanterne semaforiche per corsie reversibili.,图形 159 表示用于可逆车道或可变车道的信号灯。,图形编号 s159；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s159.gif,rmastri.it,https://www.rmastri.it/42/immagini/s159.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000206
交通标志与图形 - 指示标志,lanterne semaforiche gialle lampeggianti,黄色闪烁交通信号灯。,,Figura n. 160: lanterne semaforiche gialle lampeggianti.,图形 160 表示黄色闪烁信号灯，提示驾驶人注意并谨慎通行。,图形编号 s160；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s160.gif,rmastri.it,https://www.rmastri.it/42/immagini/s160.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000207
交通标志与图形 - 指示标志,lanterna semaforica speciale di onda verde,绿波特殊交通信号灯。,,Figura n. 161: lanterna semaforica speciale di onda verde.,图形 161 表示提示按一定速度行驶可连续遇到绿灯的特殊信号灯。,图形编号 s161；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s161.gif,rmastri.it,https://www.rmastri.it/42/immagini/s161.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000208
交通标志与图形 - 指示标志,lanterna semaforica speciale a luci rosse lampeggianti,红色闪烁特殊信号灯。,,Figura n. 162: lanterna semaforica speciale a luci rosse lampeggianti.,图形 162 表示红色闪烁的特殊交通信号灯。,图形编号 s162；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s162.gif,rmastri.it,https://www.rmastri.it/42/immagini/s162.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000209
交通标志与图形 - 强制标志,confine di stato tra paesi della comunità  europea,欧盟国家之间的国界标志。,,Figura n. 163: confine di stato tra paesi della comunità  europea.,该标志表示两个欧盟国家之间的边界。,图形编号 s172；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s163.gif,rmastri.it,https://www.rmastri.it/42/immagini/s163.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000210
交通标志与图形 - 强制标志,preavviso di confine di stato tra paesi della comunità  europea,欧盟国家之间国界预告。,,Figura n. 164: preavviso di confine di stato tra paesi della comunità  europea.,该标志提前提示即将到达欧盟国家之间的边界。,图形编号 s173；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s164.gif,rmastri.it,https://www.rmastri.it/42/immagini/s164.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000211
交通标志与图形 - 指示标志,segnale di preavviso di intersezione urbana,城市交叉路口预告标志。,,Figura n. 166: segnale di preavviso di intersezione urbana.,图形 166 表示前方为城市道路交叉路口。,图形编号 s166；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s166.gif,rmastri.it,https://www.rmastri.it/42/immagini/s166.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000212
